# z D Omega_21 Omega_22
1.254558352656939491e+02 1.032632055746499425e-02 -1.519225008735920035e+00 5.192252074916371418e-01
1.296025932398692930e+02 1.000644182483904215e-02 -1.519862192708490767e+00 5.198623785517382245e-01
1.338853322991424761e+02 9.696937384444433844e-03 -1.520520644661069065e+00 5.205208560173142374e-01
1.383085115548529700e+02 9.397128962177292086e-03 -1.521201162081397440e+00 5.212013751725436128e-01
1.428767363421617631e+02 9.106838270250487699e-03 -1.521904466996459648e+00 5.219046806621085999e-01
1.475947630150442649e+02 8.825842778640262051e-03 -1.522631310039707309e+00 5.226315434996904319e-01
1.524675038985208460e+02 8.553649086355278805e-03 -1.523382552891757724e+00 5.233827751049076049e-01
1.575000324032819208e+02 8.290212669631216724e-03 -1.524158950068064566e+00 5.241591932036879786e-01
1.626975883080323797e+02 8.035097979421814210e-03 -1.524961412282826556e+00 5.249616648530257557e-01
1.680655832150555113e+02 7.788015652945168982e-03 -1.525790844094733201e+00 5.257910813529219629e-01
1.736096061846766645e+02 7.548909939955657927e-03 -1.526648075763298751e+00 5.266483477925087975e-01
1.793354295544927197e+02 7.317292906797737140e-03 -1.527534168180150420e+00 5.275344338191373383e-01
1.852490149494270497e+02 7.093067365083237721e-03 -1.528450038162969538e+00 5.284503133242289818e-01
1.913565194888664962e+02 6.875983818995449158e-03 -1.529396708487911871e+00 5.293970063176154373e-01
1.976643021973443695e+02 6.665700669292582391e-03 -1.530375312799868492e+00 5.303755811287875765e-01
2.041789306254427458e+02 6.462217649858620176e-03 -1.531386791271384329e+00 5.313871044242834962e-01
2.109071876878089142e+02 6.265128445907212212e-03 -1.532432413087517764e+00 5.324327299070137354e-01
2.178560787254048989e+02 6.074277233466086195e-03 -1.533513318808055192e+00 5.335136227128790543e-01
2.250328387993428692e+02 5.889555358974233462e-03 -1.534630630355105829e+00 5.346309785912566337e-01
2.324449402239019946e+02 5.710619331035753608e-03 -1.535785753507223905e+00 5.357860771756631779e-01
2.401001003465679275e+02 5.537422889186857135e-03 -1.536979836142037703e+00 5.369801901341816341e-01
2.480062895831972583e+02 5.369714302156486721e-03 -1.538214297686587795e+00 5.382146736098142314e-01
2.561717397166720502e+02 5.207269568246914414e-03 -1.539490608751470813e+00 5.394909319572053219e-01
2.646049524676851092e+02 5.050084972952119736e-03 -1.540809958047055339e+00 5.408103598705964465e-01
2.733147083465790956e+02 4.897823013469506694e-03 -1.542174104687017655e+00 5.421744944116193565e-01
2.823100757954575784e+02 4.750404894465541303e-03 -1.543584465949314311e+00 5.435848551779982607e-01
2.916004206300841588e+02 4.607696931461658339e-03 -1.545042586441821797e+00 5.450430284858863716e-01
3.011954157914028656e+02 4.469459146050605049e-03 -1.546550322686139900e+00 5.465507031870471266e-01
3.111050514168313157e+02 4.335677615088959387e-03 -1.548109078668758354e+00 5.481095330417968814e-01
3.213396452418128320e+02 4.206113199707251643e-03 -1.549720864625936168e+00 5.497213314585046584e-01
